tilaaja_taso_0	tilaaja_taso_1	tilaaja_taso_2	tilaaja_taso_3	VSSHP_boolean	custorg0	custorg1	custorg2	custorg3
TYKS	PAIMION SAIRAALA	018-sis.osasto	018/13-osaston ylilääkärin vo	1	TYKS        	PAIMIO      	018         	018/13      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	018-sis.osasto	018/13-osaston ylilääkärin vo	1	KO-HTR      	KO-SIS      	018         	018/13      
TYKS	TYKS/Paimion sairaala	018-sis.osasto	018/INF-infuusiopkl	1	TYKS        	TYKSPA      	018         	018/IN      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	018-sis.osasto	018/INF-infuusiopkl	1	KO-HTR      	KO-SIS      	018         	018/IN      
TYKS	PAIMION SAIRAALA	018-sis.osasto	018/INF-infuusiopkl	1	TYKS        	PAIMIO      	018         	018/IN      
TYKS	TYKS/Paimion sairaala	018-sis.osasto	018/SH-sairaanhoitajan vo	1	TYKS        	TYKSPA      	018         	018/SH      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	018-sis.osasto	018/SH-sairaanhoitajan vo	1	KO-HTR      	KO-SIS      	018         	018/SH      
TYKS	PAIMION SAIRAALA	018-sis.osasto	018/SH-sairaanhoitajan vo	1	TYKS        	PAIMIO      	018         	018/SH      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020-sisätautien pkl	1	TYKS        	TYKSAC      	020         	020         
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020-sisätautien pkl	1	KO-HTR      	KO-SIS      	020         	020         
TYKS	Kantasairaala	020-sis.poli	020-sisätautien pkl	1	TYKS        	KANTA       	020         	020         
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/10-erikoislääkäri	1	TYKS        	TYKSAC      	020         	020/10      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/10-erikoislääkäri	1	KO-HTR      	KO-SIS      	020         	020/10      
TYKS	Kantasairaala	020-sis.poli	020/10-erikoislääkäri	1	TYKS        	KANTA       	020         	020/10      
TYKS	Kantasairaala	020-sis.poli	020/11-erikoislääkäri	1	TYKS        	KANTA       	020         	020/11      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/11-erikoislääkäri	1	KO-HTR      	KO-SIS      	020         	020/11      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/11-erikoislääkäri	1	TYKS        	TYKSAC      	020         	020/11      
TYKS	Kantasairaala	020-sis.poli	020/12-erikoislääkäri	1	TYKS        	KANTA       	020         	020/12      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/12-erikoislääkäri	1	TYKS        	TYKSAC      	020         	020/12      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/12-erikoislääkäri	1	KO-HTR      	KO-SIS      	020         	020/12      
TYKS	Kantasairaala	020-sis.poli	020/13-Lyme	1	TYKS        	KANTA       	020         	020/13      
TYKS	Kantasairaala	020-sis.poli	020/16-nutritio-ryhmä	1	TYKS        	KANTA       	020         	020/16      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/16-nutritio-ryhmä	1	TYKS        	TYKSAC      	020         	020/16      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/20-erikoislääkäri	1	TYKS        	TYKSAC      	020         	020/20      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/20-erikoislääkäri	1	KO-HTR      	KO-SIS      	020         	020/20      
TYKS	Kantasairaala	020-sis.poli	020/20-erikoislääkäri	1	TYKS        	KANTA       	020         	020/20      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/21-erikoislääkäri	1	TYKS        	TYKSAC      	020         	020/21      
TYKS	Kantasairaala	020-sis.poli	020/24-erikoislääkärin vo	1	TYKS        	KANTA       	020         	020/24      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/30-erikoislääkäri	1	TYKS        	TYKSAC      	020         	020/30      
TYKS	Kantasairaala	020-sis.poli	020/30-erikoislääkäri	1	TYKS        	KANTA       	020         	020/30      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/30-erikoislääkäri	1	KO-HTR      	KO-SIS      	020         	020/30      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/40-hematologinen vo	1	TYKS        	TYKSAC      	020         	020/40      
TYKS	Kantasairaala	020-sis.poli	020/40-hematologinen vo	1	TYKS        	KANTA       	020         	020/40      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/40-hematologinen vo	1	KO-HTR      	KO-SIS      	020         	020/40      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/41-endokrinologinen vo	1	KO-HTR      	KO-SIS      	020         	020/41      
TYKS	Kantasairaala	020-sis.poli	020/41-endokrinologinen vo	1	TYKS        	KANTA       	020         	020/41      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/41-endokrinologinen vo	1	TYKS        	TYKSAC      	020         	020/41      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/42-sydänpkl II	1	TYKS        	TYKSAC      	020         	020/42      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/42-sydänpkl II	1	KO-HTR      	KO-SIS      	020         	020/42      
TYKS	Kantasairaala	020-sis.poli	020/42-sydänpkl II	1	TYKS        	KANTA       	020         	020/42      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/43-apul.opettajan vo	1	KO-HTR      	KO-SIS      	020         	020/43      
TYKS	Kantasairaala	020-sis.poli	020/43-apul.opettajan vo	1	TYKS        	KANTA       	020         	020/43      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/43-apul.opettajan vo	1	TYKS        	TYKSAC      	020         	020/43      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/44-endokrinologi pkl	1	KO-HTR      	KO-SIS      	020         	020/44      
TYKS	Kantasairaala	020-sis.poli	020/44-endokrinologi pkl	1	TYKS        	KANTA       	020         	020/44      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/44-endokrinologi pkl	1	TYKS        	TYKSAC      	020         	020/44      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/45-endo 2	1	KO-HTR      	KO-SIS      	020         	020/45      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/45-endo 2	1	TYKS        	TYKSAC      	020         	020/45      
TYKS	Kantasairaala	020-sis.poli	020/45-endo 2	1	TYKS        	KANTA       	020         	020/45      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/46-Sleepass-pkl	1	TYKS        	TYKSAC      	020         	020/46      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/46-Sleepass-pkl	1	KO-HTR      	KO-SIS      	020         	020/46      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/47	1	KO-HTR      	KO-SIS      	020         	020/47      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/50-nefrologin vo	1	TYKS        	TYKSAC      	020         	020/50      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/50-nefrologin vo	1	KO-HTR      	KO-SIS      	020         	020/50      
TYKS	Kantasairaala	020-sis.poli	020/50-nefrologin vo	1	TYKS        	KANTA       	020         	020/50      
TYKS	Kantasairaala	020-sis.poli	020/52-ylilääkärin vo	1	TYKS        	KANTA       	020         	020/52      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/60-diabetes vo	1	TYKS        	TYKSAC      	020         	020/60      
TYKS	Kantasairaala	020-sis.poli	020/60-diabetes vo	1	TYKS        	KANTA       	020         	020/60      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/60-diabetes vo	1	KO-HTR      	KO-SIS      	020         	020/60      
TYKS	Kantasairaala	020-sis.poli	020/64-endoskopiat	1	TYKS        	KANTA       	020         	020/64      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/65/infuusiot	1	KO-HTR      	KO-SIS      	020         	020/65      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/65/infuusiot	1	TYKS        	TYKSAC      	020         	020/65      
TYKS	Kantasairaala	020-sis.poli	020/65/infuusiot	1	TYKS        	KANTA       	020         	020/65      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/70-sydänpkl I	1	TYKS        	TYKSAC      	020         	020/70      
TYKS	Kantasairaala	020-sis.poli	020/70-sydänpkl I	1	TYKS        	KANTA       	020         	020/70      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/70-sydänpkl I	1	KO-HTR      	KO-SIS      	020         	020/70      
TYKS	Kantasairaala	020-sis.poli	020/71-gastroenterol. vo	1	TYKS        	KANTA       	020         	020/71      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/72-sydänpkl III	1	TYKS        	TYKSAC      	020         	020/72      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/72-sydänpkl III	1	KO-HTR      	KO-SIS      	020         	020/72      
TYKS	Kantasairaala	020-sis.poli	020/72-sydänpkl III	1	TYKS        	KANTA       	020         	020/72      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/73-reumapkl	1	TYKS        	TYKSAC      	020         	020/73      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/73-reumapkl	1	KO-HTR      	KO-SIS      	020         	020/73      
TYKS	Kantasairaala	020-sis.poli	020/73-reumapkl	1	TYKS        	KANTA       	020         	020/73      
TYKS	Kantasairaala	020-sis.poli	020/74-erikoislääkärin vo	1	TYKS        	KANTA       	020         	020/74      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/75-sydänpkl IV	1	KO-HTR      	KO-SIS      	020         	020/75      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/75-sydänpkl IV	1	TYKS        	TYKSAC      	020         	020/75      
TYKS	Kantasairaala	020-sis.poli	020/75-sydänpkl IV	1	TYKS        	KANTA       	020         	020/75      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/76-rytmipkl	1	KO-HTR      	KO-SIS      	020         	020/76      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/76-rytmipkl	1	TYKS        	TYKSAC      	020         	020/76      
TYKS	Kantasairaala	020-sis.poli	020/76-rytmipkl	1	TYKS        	KANTA       	020         	020/76      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/77-sydänpkl IV	1	TYKS        	TYKSAC      	020         	020/77      
TYKS	Kantasairaala	020-sis.poli	020/77-sydänpkl IV	1	TYKS        	KANTA       	020         	020/77      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/77-sydänpkl IV	1	KO-HTR      	KO-SIS      	020         	020/77      
TYKS	Kantasairaala	020-sis.poli	020/80-sensorihoitaja	1	TYKS        	KANTA       	020         	020/80      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/80-sensorihoitaja	1	KO-HTR      	KO-SIS      	020         	020/80      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/80-sensorihoitaja	1	TYKS        	TYKSAC      	020         	020/80      
TYKS	Kantasairaala	020-sis.poli	020/81-opetuspkl I	1	TYKS        	KANTA       	020         	020/81      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/81-opetuspkl I	1	TYKS        	TYKSAC      	020         	020/81      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/81-opetuspkl I	1	KO-HTR      	KO-SIS      	020         	020/81      
TYKS	Kantasairaala	020-sis.poli	020/82-opetuspkl II	1	TYKS        	KANTA       	020         	020/82      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/82-opetuspkl II	1	KO-HTR      	KO-SIS      	020         	020/82      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/82-opetuspkl II	1	TYKS        	TYKSAC      	020         	020/82      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/83-infektiopkl	1	TYKS        	TYKSAC      	020         	020/83      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/83-infektiopkl	1	KO-HTR      	KO-SIS      	020         	020/83      
TYKS	Kantasairaala	020-sis.poli	020/83-infektiopkl	1	TYKS        	KANTA       	020         	020/83      
TYKS	Kantasairaala	020-sis.poli	020/84-diabeteshoitaja	1	TYKS        	KANTA       	020         	020/84      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/84-diabeteshoitaja	1	KO-HTR      	KO-SIS      	020         	020/84      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/84-diabeteshoitaja	1	TYKS        	TYKSAC      	020         	020/84      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/86-jalkojenhoitaja	1	TYKS        	TYKSAC      	020         	020/86      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/86-jalkojenhoitaja	1	KO-HTR      	KO-SIS      	020         	020/86      
TYKS	Kantasairaala	020-sis.poli	020/86-jalkojenhoitaja	1	TYKS        	KANTA       	020         	020/86      
TYKS	Kantasairaala	020-sis.poli	020/88-yhteis vo	1	TYKS        	KANTA       	020         	020/88      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/88-yhteis vo	1	KO-HTR      	KO-SIS      	020         	020/88      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/88-yhteis vo	1	TYKS        	TYKSAC      	020         	020/88      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/89-yhteis vo II	1	KO-HTR      	KO-SIS      	020         	020/89      
TYKS	Kantasairaala	020-sis.poli	020/90-patterin testaus	1	TYKS        	KANTA       	020         	020/90      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/90-patterin testaus	1	TYKS        	TYKSAC      	020         	020/90      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/90-patterin testaus	1	KO-HTR      	KO-SIS      	020         	020/90      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/91-tahdistintest.nauh.luku	1	KO-HTR      	KO-SIS      	020         	020/91      
TYKS	Kantasairaala	020-sis.poli	020/98-INVA,PL	1	TYKS        	KANTA       	020         	020/98      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/OM-omaistutkimus	1	KO-HTR      	KO-SIS      	020         	020/OM      
TYKS	Kantasairaala	020-sis.poli	020/OM-omaistutkimus	1	TYKS        	KANTA       	020         	020/OM      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/OM-omaistutkimus	1	TYKS        	TYKSAC      	020         	020/OM      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/RE-reuman hoitajavo	1	KO-HTR      	KO-SIS      	020         	020/RE      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	020-sis.poli	020/SYDHOI-sydänhoitajan vo	1	KO-HTR      	KO-SIS      	020         	020SYD      
TYKS	TYKS/A-sairaala/C-siipi	020-sis.poli	020/SYDHOI-sydänhoitajan vo	1	TYKS        	TYKSAC      	020         	020SYD      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	022-avodialyysi	022-koulutusdialyysi	1	KO-HTR      	KO-SIS      	022         	022         
TYKS	Radiumkoti	022-avodialyysi	022-koulutusdialyysi	1	TYKS        	RADIUM      	022         	022         
TYKS	TYKS/rakennus 2	022-avodialyysi	022-koulutusdialyysi	1	TYKS        	TYKS02      	022         	022         
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	022-avodialyysi	022/02-peritoneaali pkl	1	KO-HTR      	KO-SIS      	022         	022/02      
TYKS	Radiumkoti	022-avodialyysi	022/02-peritoneaali pkl	1	TYKS        	RADIUM      	022         	022/02      
TYKS	TYKS/rakennus 2	022-avodialyysi	022/02-peritoneaali pkl	1	TYKS        	TYKS02      	022         	022/02      
TYKS	Radiumkoti	022-avodialyysi	022/03-kidney	1	TYKS        	RADIUM      	022         	022/03      
TYKS	Radiumkoti	022-avodialyysi	022/05-pre-hoitajan vo	1	TYKS        	RADIUM      	022         	022/05      
TYKS	TYKS/rakennus 2	022-avodialyysi	022/05-pre-hoitajan vo	1	TYKS        	TYKS02      	022         	022/05      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	022-avodialyysi	022/06-pre-dialyysi pkl	1	KO-HTR      	KO-SIS      	022         	022/06      
TYKS	Radiumkoti	022-avodialyysi	022/06-pre-dialyysi pkl	1	TYKS        	RADIUM      	022         	022/06      
TYKS	TYKS/rakennus 2	022-avodialyysi	022/06-pre-dialyysi pkl	1	TYKS        	TYKS02      	022         	022/06      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	022-avodialyysi	022/07-kotihemodialyysi pkl	1	KO-HTR      	KO-SIS      	022         	022/07      
TYKS	TYKS/rakennus 2	022-avodialyysi	022/07-kotihemodialyysi pkl	1	TYKS        	TYKS02      	022         	022/07      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	026-munuaisosasto	026-munuaisos/päiväsair	1	KO-HTR      	KO-SIS      	026         	026         
TYKS	Kantasairaala	026-munuaisosasto	026-munuaisos/päiväsair	1	TYKS        	KANTA       	026         	026         
TYKS	TYKS/U-sairaala	026-munuaisosasto	026-munuaisos/päiväsair	1	TYKS        	TYKSU       	026         	026         
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	026-munuaisosasto	026/01-hemodialyysipot.	1	KO-HTR      	KO-SIS      	026         	026/01      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	026-munuaisosasto	026/02-plasmafereesi	1	KO-HTR      	KO-SIS      	026         	026/02      
TYKS	Kantasairaala	026-munuaisosasto	026/02-plasmafereesi	1	TYKS        	KANTA       	026         	026/02      
TYKS	Kantasairaala	026-munuaisosasto	026/03-kontrollikäynnit	1	TYKS        	KANTA       	026         	026/03      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	026-munuaisosasto	026/05-pre-dialyysi	1	KO-HTR      	KO-SIS      	026         	026/05      
TYKS	TYKS/U-sairaala	026-munuaisosasto	026/05-pre-dialyysi	1	TYKS        	TYKSU       	026         	026/05      
TYKS	Kantasairaala	026-munuaisosasto	026/05-pre-dialyysi	1	TYKS        	KANTA       	026         	026/05      
TYKS	TYKS/U-sairaala	026-munuaisosasto	026/06-sis/PRD	1	TYKS        	TYKSU       	026         	026/06      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	026-munuaisosasto	026/06-sis/PRD	1	KO-HTR      	KO-SIS      	026         	026/06      
TYKS	Kantasairaala	026-munuaisosasto	026/06-sis/PRD	1	TYKS        	KANTA       	026         	026/06      
TYKS	Kantasairaala	026-munuaisosasto	026/08-munuaisbiopsia-potilaat	1	TYKS        	KANTA       	026         	026/08      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	026-munuaisosasto	026/08-munuaisbiopsia-potilaat	1	KO-HTR      	KO-SIS      	026         	026/08      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	027-kardiologia	027-invasiivisen kardiol. yks	1	KO-HTR      	KO-SIS      	027         	027         
TYKS	TYKS/A-sairaala	027-kardiologia	027-invasiivisen kardiol. yks	1	TYKS        	TYKSA       	027         	027         
TYKS	Kantasairaala	027-kardiologia	027-invasiivisen kardiol. yks	1	TYKS        	KANTA       	027         	027         
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	027-kardiologia	027/77-sydänangio 1	1	KO-HTR      	KO-SIS      	027         	027/77      
TYKS	Raision seudun ova (RAISIO)	081-sis.poli	081-sisätautipkl (Raisio)	1	TYKS        	RAISIO      	081         	081         
TYKS	TYKS/Raision sairaala	081-sis.poli	081-sisätautipkl (Raisio)	1	TYKS        	TYKSRA      	081         	081         
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	081-sis.poli	081-sisätautipkl (Raisio)	1	KO-HTR      	KO-SIS      	081         	081         
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	081-sis.poli	081/EL-sisätaudit (Raisio)	1	KO-HTR      	KO-SIS      	081         	081/EL      
TYKS	Raision seudun ova (RAISIO)	081-sis.poli	081/EL-sisätaudit (Raisio)	1	TYKS        	RAISIO      	081         	081/EL      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	081-sis.poli	081/EV-sisätaudit (Raisio)	1	KO-HTR      	KO-SIS      	081         	081/EV      
TYKS	Raision seudun ova (RAISIO)	081-sis.poli	081/EV-sisätaudit (Raisio)	1	TYKS        	RAISIO      	081         	081/EV      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	081-sis.poli	081/KA-sisätaudit (Raisio)	1	KO-HTR      	KO-SIS      	081         	081/KA      
TYKS	Raision seudun ova (RAISIO)	081-sis.poli	081/KA-sisätaudit (Raisio)	1	TYKS        	RAISIO      	081         	081/KA      
TYKS	TYKS/Raision sairaala	081-sis.poli	081/KA-sisätaudit (Raisio)	1	TYKS        	TYKSRA      	081         	081/KA      
TYKS	Raision seudun ova (RAISIO)	081-sis.poli	081/NE-sisätaudit (Raisio)	1	TYKS        	RAISIO      	081         	081/NE      
TYKS	TYKS/Raision sairaala	081-sis.poli	081/NE-sisätaudit (Raisio)	1	TYKS        	TYKSRA      	081         	081/NE      
TYKS	TYKS/Raision sairaala	081-sis.poli	081/YL-sisätaudit (Raisio)	1	TYKS        	TYKSRA      	081         	081/YL      
TYKS	Raision seudun ova (RAISIO)	081-sis.poli	081/YL-sisätaudit (Raisio)	1	TYKS        	RAISIO      	081         	081/YL      
TYKS	TYKS/Raision sairaala	081-EL 2 sisätaudit (Raisio)	081-EL 2 sisätaudit (Raisio)	1	TYKS        	TYKSRA      	081EL2      	081EL2      
TYKS	Raision seudun ova (RAISIO)	081-EL 2 sisätaudit (Raisio)	081-EL 2 sisätaudit (Raisio)	1	TYKS        	RAISIO      	081EL2      	081EL2      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	081-sis.poli	081-EL 2 sisätaudit (Raisio)	1	KO-HTR      	KO-SIS      	081         	081EL2      
TYKS	TYKS/Raision sairaala	081/EL3 erikoislääkäri	081/EL3 erikoislääkäri	1	TYKS        	TYKSRA      	081EL3      	081EL3      
